video_id,channel_id,duration(sec),domain,link,has_persian,has_dari,has_iranian,has_pashto
FsYunJHd914,UCvF0dhWBERzD6YH296cOVFw,,,https://www.youtube.com/watch?v=FsYunJHd914,True,True,False,False
UHZXQcMJW60,UCvF0dhWBERzD6YH296cOVFw,,,https://www.youtube.com/watch?v=UHZXQcMJW60,True,True,False,False
9faPVgyAkqU,UCvF0dhWBERzD6YH296cOVFw,,,https://www.youtube.com/watch?v=9faPVgyAkqU,True,True,False,False
qkQnHV8vV60,UCvF0dhWBERzD6YH296cOVFw,,,https://www.youtube.com/watch?v=qkQnHV8vV60,True,True,False,False
4Og5Hgp6nkU,UCvF0dhWBERzD6YH296cOVFw,,,https://www.youtube.com/watch?v=4Og5Hgp6nkU,True,True,False,False
3NGzAAyysjw,UCvF0dhWBERzD6YH296cOVFw,,,https://www.youtube.com/watch?v=3NGzAAyysjw,True,True,False,False
QLVO1wqYb58,UCvF0dhWBERzD6YH296cOVFw,,,https://www.youtube.com/watch?v=QLVO1wqYb58,True,True,False,False
QoMoWqzTLZ4,UCvF0dhWBERzD6YH296cOVFw,,,https://www.youtube.com/watch?v=QoMoWqzTLZ4,True,True,False,False
-jgXfzsNzMU,UCvF0dhWBERzD6YH296cOVFw,,,https://www.youtube.com/watch?v=-jgXfzsNzMU,True,True,False,False
tuEP3AOSm6o,UCvF0dhWBERzD6YH296cOVFw,,,https://www.youtube.com/watch?v=tuEP3AOSm6o,True,True,False,False
0VizDbd5Eio,UCvF0dhWBERzD6YH296cOVFw,,,https://www.youtube.com/watch?v=0VizDbd5Eio,True,True,False,False
ya7d1OLYzxI,UCvF0dhWBERzD6YH296cOVFw,,,https://www.youtube.com/watch?v=ya7d1OLYzxI,True,True,False,False
yQ68cjU-Cbs,UCvF0dhWBERzD6YH296cOVFw,,,https://www.youtube.com/watch?v=yQ68cjU-Cbs,True,True,False,False
ewlwNs_oywI,UCvF0dhWBERzD6YH296cOVFw,,,https://www.youtube.com/watch?v=ewlwNs_oywI,True,True,False,False
-GO73tvx5II,UCvF0dhWBERzD6YH296cOVFw,,,https://www.youtube.com/watch?v=-GO73tvx5II,True,True,False,False
_ZD4hkpmt20,UCvF0dhWBERzD6YH296cOVFw,,,https://www.youtube.com/watch?v=_ZD4hkpmt20,True,True,False,False
b0hxPFLb0KE,UCvF0dhWBERzD6YH296cOVFw,,,https://www.youtube.com/watch?v=b0hxPFLb0KE,True,True,False,False
337S5RfqfGY,UCvF0dhWBERzD6YH296cOVFw,,,https://www.youtube.com/watch?v=337S5RfqfGY,True,True,False,False
bC3JzcHfa6Y,UCvF0dhWBERzD6YH296cOVFw,,,https://www.youtube.com/watch?v=bC3JzcHfa6Y,True,True,False,False
l-D_mrVcmwE,UCvF0dhWBERzD6YH296cOVFw,,,https://www.youtube.com/watch?v=l-D_mrVcmwE,True,True,False,False
FaHgexBU-JY,UCvF0dhWBERzD6YH296cOVFw,,,https://www.youtube.com/watch?v=FaHgexBU-JY,True,True,False,False
cn7Vzzc7HHQ,UCvF0dhWBERzD6YH296cOVFw,,,https://www.youtube.com/watch?v=cn7Vzzc7HHQ,True,True,False,False
G0GBYZFTcYA,UCvF0dhWBERzD6YH296cOVFw,,,https://www.youtube.com/watch?v=G0GBYZFTcYA,True,True,False,False
CzA-cP93Pr8,UCvF0dhWBERzD6YH296cOVFw,,,https://www.youtube.com/watch?v=CzA-cP93Pr8,True,True,False,False
07V4nNye4vA,UCvF0dhWBERzD6YH296cOVFw,,,https://www.youtube.com/watch?v=07V4nNye4vA,True,True,False,False
8pgO16UvCwc,UCvF0dhWBERzD6YH296cOVFw,,,https://www.youtube.com/watch?v=8pgO16UvCwc,True,True,False,False
ZYVXEZpW-c4,UCvF0dhWBERzD6YH296cOVFw,,,https://www.youtube.com/watch?v=ZYVXEZpW-c4,True,True,False,False
eH12eANr-rA,UCvF0dhWBERzD6YH296cOVFw,,,https://www.youtube.com/watch?v=eH12eANr-rA,True,True,False,False
CeL9PQe4z_w,UCvF0dhWBERzD6YH296cOVFw,,,https://www.youtube.com/watch?v=CeL9PQe4z_w,True,True,False,False
buhsaDiDZHM,UCvF0dhWBERzD6YH296cOVFw,,,https://www.youtube.com/watch?v=buhsaDiDZHM,True,True,False,False
Y7_7Y1C-Slw,UCvF0dhWBERzD6YH296cOVFw,,,https://www.youtube.com/watch?v=Y7_7Y1C-Slw,True,True,False,False
KWGWcSn9yV4,UCvF0dhWBERzD6YH296cOVFw,,,https://www.youtube.com/watch?v=KWGWcSn9yV4,True,True,False,False
EvPee7jnq3k,UCvF0dhWBERzD6YH296cOVFw,,,https://www.youtube.com/watch?v=EvPee7jnq3k,True,True,False,False
RBvmgbyJLW4,UCvF0dhWBERzD6YH296cOVFw,,,https://www.youtube.com/watch?v=RBvmgbyJLW4,True,True,False,False
